,date,cof_cost,bn_cost,pk_cost,cof_vol,bn_vol,pk_vol
284,2021- 08- 16,186.25,1376.0,89.0,26630.0,13440.0,21290.0
285,2021- 08- 13,185.75,1424.25,109.8,30850.0,40.0,2580.0
286,2021- 08- 12,189.6,1401.5,110.12,40630.0,40.0,2610.0
287,2021- 08- 11,187.0,1405.5,109.62,27010.0,290.0,2830.0
288,2021- 08- 10,185.1,1447.5,109.67,27560.0,810.0,3560.0
289,2021- 08- 09,182.45,1433.75,108.9,20120.0,450.0,4730.0
290,2021- 08- 06,179.05,1422.25,108.75,19970.0,960.0,5790.0
291,2021- 08- 05,179.9,1402.5,109.47,17070.0,1250.0,5330.0
292,2021- 08- 04,178.7,1403.5,109.47,14410.0,2840.0,5880.0
293,2021- 08- 03,177.85,1392.25,109.08,14470.0,2290.0,9040.0
294,2021- 08- 02,175.75,1418.75,107.5,26550.0,1150.0,5590.0
295,2021- 07- 30,182.45,1414.75,106.2,22240.0,2970.0,6170.0
296,2021- 07- 29,199.3,1434.25,106.3,17600.0,17950.0,6140.0
297,2021- 07- 28,203.35,1432.0,105.7,19620.0,21550.0,9650.0
298,2021- 07- 27,204.6,1418.25,107.47,16530.0,22130.0,7420.0
299,2021- 07- 26,210.7,1412.75,107.4,21480.0,25880.0,7030.0
300,2021- 07- 23,191.95,1401.0,107.35,22380.0,23500.0,7900.0
301,2021- 07- 22,196.6,1416.25,106.65,23620.0,30710.0,12520.0
302,2021- 07- 21,178.9,1439.25,106.58,17720.0,21430.0,11780.0
303,2021- 07- 20,166.8,1443.5,105.0,44830.0,33660.0,11470.0
304,2021- 07- 19,156.4,1428.0,104.47,23240.0,24480.0,16870.0
305,2021- 07- 16,161.35,1454.75,105.65,26480.0,31630.0,16090.0
306,2021- 07- 15,157.05,1447.5,112.12,14250.0,30130.0,870.0
307,2021- 07- 14,156.6,1467.75,112.38,14850.0,30.0,2330.0
308,2021- 07- 13,152.25,1438.0,112.25,13020.0,170.0,2870.0
309,2021- 07- 12,154.0,1432.5,112.47,18670.0,110.0,2870.0
